Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-11-18 00:00,0.860,0.003,0,0,0,0,p
2018-11-18 00:06,0.873,0.007,1,0,0,0,p
2018-11-18 00:12,0.899,0.010,0,0,0,0,p
2018-11-18 00:18,0.906,0.013,0,0,0,0,p
2018-11-18 00:24,0.915,0.007,0,0,0,0,p
2018-11-18 00:30,0.909,0.007,1,0,0,0,p
2018-11-18 00:36,0.922,0.003,1,0,0,0,p
2018-11-18 00:42,0.942,0.003,1,0,0,0,p
2018-11-18 00:48,0.932,0.003,1,0,0,0,p
2018-11-18 00:54,0.958,0.003,0,0,0,0,p
2018-11-18 01:00,0.965,0.003,1,0,0,0,p
2018-11-18 01:06,0.974,0.003,1,0,0,0,p
2018-11-18 01:12,0.991,0.003,1,0,0,0,p
2018-11-18 01:18,1.001,0.003,0,0,0,0,p
2018-11-18 01:24,0.997,0.003,1,0,0,0,p
2018-11-18 01:30,1.024,0.003,0,0,0,0,p
2018-11-18 01:36,1.017,0.007,1,0,0,0,p
2018-11-18 01:42,1.037,0.003,1,0,0,0,p
2018-11-18 01:48,1.037,0.003,1,0,0,0,p
2018-11-18 01:54,1.050,0.003,0,0,0,0,p
2018-11-18 02:00,1.047,0.003,1,0,0,0,p
2018-11-18 02:06,1.066,0.007,0,0,0,0,p
2018-11-18 02:12,1.073,0.007,1,0,0,0,p
2018-11-18 02:18,1.076,0.007,1,0,0,0,p
2018-11-18 02:24,1.093,0.007,1,0,0,0,p
2018-11-18 02:30,1.093,0.007,1,0,0,0,p
2018-11-18 02:36,1.099,0.007,1,0,0,0,p
2018-11-18 02:42,1.099,0.010,1,0,0,0,p
2018-11-18 02:48,1.106,0.010,0,0,0,0,p
2018-11-18 02:54,1.119,0.013,0,0,0,0,p
2018-11-18 03:00,1.102,0.007,1,0,0,0,p
2018-11-18 03:06,1.099,0.003,1,0,0,0,p
2018-11-18 03:12,1.093,0.003,1,0,0,0,p
2018-11-18 03:18,1.102,0.007,0,0,0,0,p
2018-11-18 03:24,1.106,0.007,0,0,0,0,p
2018-11-18 03:30,1.125,0.007,1,0,0,0,p
2018-11-18 03:36,1.047,0.016,1,0,0,0,p
2018-11-18 03:42,1.132,0.020,1,0,0,0,p
2018-11-18 03:48,1.073,0.023,1,0,0,0,p
2018-11-18 03:54,1.096,0.020,1,0,0,0,p
2018-11-18 04:00,1.079,0.010,0,0,0,0,p
2018-11-18 04:06,1.099,0.007,1,0,0,0,p
2018-11-18 04:12,1.076,0.007,1,0,0,0,p
2018-11-18 04:18,1.073,0.007,1,0,0,0,p
2018-11-18 04:24,1.070,0.003,1,0,0,0,p
2018-11-18 04:30,1.073,0.007,1,0,0,0,p
2018-11-18 04:36,1.063,0.007,0,0,0,0,p
2018-11-18 04:42,1.079,0.007,1,0,0,0,p
2018-11-18 04:48,1.076,0.007,1,0,0,0,p
2018-11-18 04:54,1.076,0.007,0,0,0,0,p
2018-11-18 05:00,1.063,0.007,1,0,0,0,p
2018-11-18 05:06,1.070,0.010,0,0,0,0,p
2018-11-18 05:12,1.063,0.003,1,0,0,0,p
2018-11-18 05:18,1.063,0.003,1,0,0,0,p
2018-11-18 05:24,1.086,0.003,1,0,0,0,p
2018-11-18 05:30,1.066,0.007,1,0,0,0,p
2018-11-18 05:36,1.083,0.007,0,0,0,0,p
2018-11-18 05:42,1.083,0.007,1,0,0,0,p
2018-11-18 05:48,1.083,0.007,1,0,0,0,p
2018-11-18 05:54,1.083,0.007,1,0,0,0,p
2018-11-18 06:00,1.073,0.007,0,0,0,0,p
2018-11-18 06:06,1.076,0.007,1,0,0,0,p
2018-11-18 06:12,1.070,0.007,1,0,0,0,p
